agency,year,state,population,ORI,female_employees_civilians,female_employees_officers,female_employees_total,male_employees_civilians,male_employees_officers,male_employees_total,total_employees_civilians,total_employees_officers,total_employees_total,officers_killed_by_accident,officers_killed_by_felony,officers_killed_total,assaults_with_injury_gun,assaults_with_injury_knife,assaults_with_injury_oth_weap,assaults_with_injury_total,assaults_with_injury_unarmed,assaults_no_injury_gun,assaults_no_injury_knife,assaults_no_injury_oth_weap,assaults_no_injury_total,assaults_no_injury_unarmed,ambush_assault_gun,ambush_assault_knife,ambush_assault_oth_weap,ambush_assault_unarmed,ambush_total_assaults,burglary_assault_gun,burglary_assault_knife,burglary_assault_oth_weap,burglary_assault_unarmed,burglary_total_assaults,deranged_assault_gun,deranged_assault_knife,deranged_assault_oth_weap,deranged_assault_unarmed,deranged_total_assaults,disturbance_assault_gun,disturbance_assault_knife,disturbance_assault_oth_weap,disturbance_assault_unarmed,disturbance_total_assaults,oth_arrest_assault_gun,oth_arrest_assault_knife,oth_arrest_assault_oth_weap,oth_arrest_assault_unarmed,oth_arrest_total_assaults,prisoner_assault_gun,prisoner_assault_knife,prisoner_assault_oth_weap,prisoner_assault_unarmed,prisoner_total_assaults,riot_assault_gun,riot_assault_knife,riot_assault_oth_weap,riot_assault_unarmed,riot_total_assaults,robbery_assault_gun,robbery_assault_knife,robbery_assault_oth_weap,robbery_assault_unarmed,robbery_total_assaults,susp_pers_assault_gun,susp_pers_assault_knife,susp_pers_assault_oth_weap,susp_pers_assault_unarmed,susp_pers_total_assaults,traffic_assault_gun,traffic_assault_knife,traffic_assault_oth_weap,traffic_assault_unarmed,traffic_total_assaults,all_other_assault_gun,all_other_assault_knife,all_other_assault_oth_weap,all_other_assault_unarmed,total_assault_gun,total_assault_knife,total_assault_oth_weap,total_assault_unarmed,total_assaults_total
Hudson County Sheriff's Office,1979-07-01,New Jersey,0,NJ00900,21,21,42,21,104,125,42,125,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1979-06-01,New Jersey,0,NJ00900,21,21,42,21,104,125,42,125,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1979-05-01,New Jersey,0,NJ00900,21,21,42,21,104,125,42,125,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1979-04-01,New Jersey,0,NJ00900,21,21,42,21,104,125,42,125,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1979-03-01,New Jersey,0,NJ00900,21,21,42,21,104,125,42,125,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1979-02-01,New Jersey,0,NJ00900,21,21,42,21,104,125,42,125,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1979-01-01,New Jersey,0,NJ00900,21,21,42,21,104,125,42,125,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1978-12-01,New Jersey,0,NJ00900,20,15,35,31,135,166,51,150,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1978-11-01,New Jersey,0,NJ00900,20,15,35,31,135,166,51,150,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1978-10-01,New Jersey,0,NJ00900,20,15,35,31,135,166,51,150,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1978-09-01,New Jersey,0,NJ00900,20,15,35,31,135,166,51,150,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1978-08-01,New Jersey,0,NJ00900,20,15,35,31,135,166,51,150,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1978-07-01,New Jersey,0,NJ00900,20,15,35,31,135,166,51,150,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1978-06-01,New Jersey,0,NJ00900,20,15,35,31,135,166,51,150,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1978-05-01,New Jersey,0,NJ00900,20,15,35,31,135,166,51,150,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1978-04-01,New Jersey,0,NJ00900,20,15,35,31,135,166,51,150,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1978-03-01,New Jersey,0,NJ00900,20,15,35,31,135,166,51,150,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1978-02-01,New Jersey,0,NJ00900,20,15,35,31,135,166,51,150,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1978-01-01,New Jersey,0,NJ00900,20,15,35,31,135,166,51,150,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1977-12-01,New Jersey,0,NJ00900,19,16,35,31,89,120,50,105,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1977-11-01,New Jersey,0,NJ00900,19,16,35,31,89,120,50,105,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1977-10-01,New Jersey,0,NJ00900,19,16,35,31,89,120,50,105,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1977-09-01,New Jersey,0,NJ00900,19,16,35,31,89,120,50,105,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1977-08-01,New Jersey,0,NJ00900,19,16,35,31,89,120,50,105,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1977-07-01,New Jersey,0,NJ00900,19,16,35,31,89,120,50,105,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1977-06-01,New Jersey,0,NJ00900,19,16,35,31,89,120,50,105,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1977-05-01,New Jersey,0,NJ00900,19,16,35,31,89,120,50,105,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1977-04-01,New Jersey,0,NJ00900,19,16,35,31,89,120,50,105,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1977-03-01,New Jersey,0,NJ00900,19,16,35,31,89,120,50,105,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1977-02-01,New Jersey,0,NJ00900,19,16,35,31,89,120,50,105,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1977-01-01,New Jersey,0,NJ00900,19,16,35,31,89,120,50,105,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1976-12-01,New Jersey,0,NJ00900,18,15,33,28,93,121,46,108,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1976-11-01,New Jersey,0,NJ00900,18,15,33,28,93,121,46,108,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1976-10-01,New Jersey,0,NJ00900,18,15,33,28,93,121,46,108,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1976-09-01,New Jersey,0,NJ00900,18,15,33,28,93,121,46,108,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1976-08-01,New Jersey,0,NJ00900,18,15,33,28,93,121,46,108,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1976-07-01,New Jersey,0,NJ00900,18,15,33,28,93,121,46,108,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1976-06-01,New Jersey,0,NJ00900,18,15,33,28,93,121,46,108,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1976-05-01,New Jersey,0,NJ00900,18,15,33,28,93,121,46,108,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1976-04-01,New Jersey,0,NJ00900,18,15,33,28,93,121,46,108,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1976-03-01,New Jersey,0,NJ00900,18,15,33,28,93,121,46,108,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1976-02-01,New Jersey,0,NJ00900,18,15,33,28,93,121,46,108,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1976-01-01,New Jersey,0,NJ00900,18,15,33,28,93,121,46,108,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1975-12-01,New Jersey,0,NJ00900,20,16,36,33,92,125,53,108,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1975-11-01,New Jersey,0,NJ00900,20,16,36,33,92,125,53,108,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1975-10-01,New Jersey,0,NJ00900,20,16,36,33,92,125,53,108,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1975-09-01,New Jersey,0,NJ00900,20,16,36,33,92,125,53,108,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1975-08-01,New Jersey,0,NJ00900,20,16,36,33,92,125,53,108,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1975-07-01,New Jersey,0,NJ00900,20,16,36,33,92,125,53,108,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1975-06-01,New Jersey,0,NJ00900,20,16,36,33,92,125,53,108,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1975-05-01,New Jersey,0,NJ00900,20,16,36,33,92,125,53,108,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1975-04-01,New Jersey,0,NJ00900,20,16,36,33,92,125,53,108,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1975-03-01,New Jersey,0,NJ00900,20,16,36,33,92,125,53,108,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1975-02-01,New Jersey,0,NJ00900,20,16,36,33,92,125,53,108,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1975-01-01,New Jersey,0,NJ00900,20,16,36,33,92,125,53,108,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1974-12-01,New Jersey,0,NJ00900,12,17,29,13,99,112,25,116,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1974-11-01,New Jersey,0,NJ00900,12,17,29,13,99,112,25,116,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1974-10-01,New Jersey,0,NJ00900,12,17,29,13,99,112,25,116,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1974-09-01,New Jersey,0,NJ00900,12,17,29,13,99,112,25,116,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1974-08-01,New Jersey,0,NJ00900,12,17,29,13,99,112,25,116,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1974-07-01,New Jersey,0,NJ00900,12,17,29,13,99,112,25,116,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1974-06-01,New Jersey,0,NJ00900,12,17,29,13,99,112,25,116,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1974-05-01,New Jersey,0,NJ00900,12,17,29,13,99,112,25,116,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1974-04-01,New Jersey,0,NJ00900,12,17,29,13,99,112,25,116,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1974-03-01,New Jersey,0,NJ00900,12,17,29,13,99,112,25,116,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1974-02-01,New Jersey,0,NJ00900,12,17,29,13,99,112,25,116,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1974-01-01,New Jersey,0,NJ00900,12,17,29,13,99,112,25,116,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1973-12-01,New Jersey,0,NJ00900,13,15,28,18,82,100,31,97,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1973-11-01,New Jersey,0,NJ00900,13,15,28,18,82,100,31,97,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1973-10-01,New Jersey,0,NJ00900,13,15,28,18,82,100,31,97,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1973-09-01,New Jersey,0,NJ00900,13,15,28,18,82,100,31,97,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1973-08-01,New Jersey,0,NJ00900,13,15,28,18,82,100,31,97,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1973-07-01,New Jersey,0,NJ00900,13,15,28,18,82,100,31,97,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1973-06-01,New Jersey,0,NJ00900,13,15,28,18,82,100,31,97,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1973-05-01,New Jersey,0,NJ00900,13,15,28,18,82,100,31,97,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1973-04-01,New Jersey,0,NJ00900,13,15,28,18,82,100,31,97,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1973-03-01,New Jersey,0,NJ00900,13,15,28,18,82,100,31,97,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1973-02-01,New Jersey,0,NJ00900,13,15,28,18,82,100,31,97,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1973-01-01,New Jersey,0,NJ00900,13,15,28,18,82,100,31,97,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,1972-12-01,New Jersey,0,NJ00900,14,19,33,15,81,96,29,100,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1972-11-01,New Jersey,0,NJ00900,14,19,33,15,81,96,29,100,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1972-10-01,New Jersey,0,NJ00900,14,19,33,15,81,96,29,100,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1972-09-01,New Jersey,0,NJ00900,14,19,33,15,81,96,29,100,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1972-08-01,New Jersey,0,NJ00900,14,19,33,15,81,96,29,100,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1972-07-01,New Jersey,0,NJ00900,14,19,33,15,81,96,29,100,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1972-06-01,New Jersey,0,NJ00900,14,19,33,15,81,96,29,100,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1972-05-01,New Jersey,0,NJ00900,14,19,33,15,81,96,29,100,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1972-04-01,New Jersey,0,NJ00900,14,19,33,15,81,96,29,100,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1972-03-01,New Jersey,0,NJ00900,14,19,33,15,81,96,29,100,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson County Sheriff's Office,1972-02-01,New Jersey,0,NJ00900,14,19,33,15,81,96,29,100,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
